0	Seton Hall	The night following their departure the Hall of Youth burned to the ground. #SetonHall
1527	Thiago Silva	performed no other great deed; but the following year, in the consulship of Flavius  L. Flavius Silva Nonius Bassus. #ThiagoSilva
1528	Thiago Silva	Silva Nonius Bassus, Asinius Pollio Verrucosus Cosa. #ThiagoSilva
1529	Allez Paris	Does it add much to mention that Nero ordered Paris the dancer killed because he wished to learn dancing from him and was
1529	Allez Paris	disappointed? Or that he banished Caecina Tuscus, governor of Egypt, for bathing in the tub that had been specially
1529	Allez Paris	constructed for his coming visit to Alexandria?  In Rome about this same time Helius committed many acts of outrage. #AllezParis
1530	Allez Paris	For example, a hermaphrodite lamb was born, and a swarm of lacuna was seen, down the doors of the temple of the Capitoline
1530	Allez Paris	Jupiter two serpents glided, both the doors and the altar in the temple of Neptune ran with copious sweat, in Antium bloody
1530	Allez Paris	ears were seen by some reapers, elsewhere a woman having horns appeared and many thunderbolts lacuna into temples lacuna Paris Fragment th Century MS. See Haase, Rh. #AllezParis
1531	Allez Paris	lacuna according to the lacuna Paris fragment p. #AllezParis
1532	Allez Paris	Paris Fragment, p. #AllezParis
1533	Allez Paris	During this same time Apustius with the Rhodians and with Attalus cruised about and subjugated many of the islands lacuna Paris Fragment, p. #AllezParis
1534	Allez Paris	And he in that place lacuna before Aurelius lacuna Vermis lacuna from the lacuna Paris Fragment, p. #AllezParis
1535	Da Silva	Silva Nonius Bassus, Asinius Pollio Verrucosus. #DaSilva
1536	Da Silva	When he had finished this exhibition, he wept so bitterly on the last day that all the people saw him, and after this time he
1536	Da Silva	performed no other great deed; but the following year, in the consulship of Flavius  L. Flavius Silva Nonius Bassus. #DaSilva
1537	Da Silva	Silva Nonius Bassus, Asinius Pollio Verrucosus Cosa. #DaSilva
1538	Republic Day	Zonaras, ,  Dio the Roman, who wrote a history about the Empire and the Republic of Rome and describes the farfamed
1538	Republic Day	Carthaginian war, says that when Regulus, consul for Rome, was warring against Carthage, a serpent suddenly crept out of the palisade of the Roman army and lay there. #RepublicDay
1539	Republic Day	Other points were that he undertook to be consul a second time, without having secured any office previously or the privileges
1539	Republic Day	of any office, and that while consul in Nicomedea he did not employ the triumphal costume on the Day of Vows. #RepublicDay
